Código Ámbito,Ámbito,Código área (M49),Área,Código Elemento,Elemento,Código Producto,Producto,Código año,Año,Unidad,Valor,Símbolo,Descripción del Símbolo
"RP","Plaguicidas Uso","076","Brasil","5157","Uso Agrícola","1320","Herbicidas","1998","1998","toneladas","63106","F","Estimación FAO"
"RP","Plaguicidas Uso","076","Brasil","5157","Uso Agrícola","1320","Herbicidas","1999","1999","toneladas","68131","Qm","Datos oficiales de cuestionarios y/o fuentes nacionales y/o COMTRADE (datos proporcionados por el país)"
"RP","Plaguicidas Uso","076","Brasil","5157","Uso Agrícola","1320","Herbicidas","2000","2000","toneladas","81862","Qm","Datos oficiales de cuestionarios y/o fuentes nacionales y/o COMTRADE (datos proporcionados por el país)"
"RP","Plaguicidas Uso","076","Brasil","5157","Uso Agrícola","1320","Herbicidas","2001","2001","toneladas","88359","Qm","Datos oficiales de cuestionarios y/o fuentes nacionales y/o COMTRADE (datos proporcionados por el país)"
"RP","Plaguicidas Uso","076","Brasil","5157","Uso Agrícola","1320","Herbicidas","2002","2002","toneladas","83859","Qm","Datos oficiales de cuestionarios y/o fuentes nacionales y/o COMTRADE (datos proporcionados por el país)"
"RP","Plaguicidas Uso","076","Brasil","5157","Uso Agrícola","1320","Herbicidas","2003","2003","toneladas","110215","Qm","Datos oficiales de cuestionarios y/o fuentes nacionales y/o COMTRADE (datos proporcionados por el país)"
"RP","Plaguicidas Uso","076","Brasil","5157","Uso Agrícola","1320","Herbicidas","2004","2004","toneladas","124060","Qm","Datos oficiales de cuestionarios y/o fuentes nacionales y/o COMTRADE (datos proporcionados por el país)"
"RP","Plaguicidas Uso","076","Brasil","5157","Uso Agrícola","1320","Herbicidas","2005","2005","toneladas","136853","Qm","Datos oficiales de cuestionarios y/o fuentes nacionales y/o COMTRADE (datos proporcionados por el país)"
"RP","Plaguicidas Uso","076","Brasil","5157","Uso Agrícola","1320","Herbicidas","2006","2006","toneladas","144986","Qm","Datos oficiales de cuestionarios y/o fuentes nacionales y/o COMTRADE (datos proporcionados por el país)"
"RP","Plaguicidas Uso","076","Brasil","5157","Uso Agrícola","1320","Herbicidas","2007","2007","toneladas","189101","Qm","Datos oficiales de cuestionarios y/o fuentes nacionales y/o COMTRADE (datos proporcionados por el país)"
"RP","Plaguicidas Uso","076","Brasil","5157","Uso Agrícola","1320","Herbicidas","2008","2008","toneladas","185665","Qm","Datos oficiales de cuestionarios y/o fuentes nacionales y/o COMTRADE (datos proporcionados por el país)"
