Código Ámbito,Ámbito,Código área (M49),Área,Código Elemento,Elemento,Código Producto,Producto,Código año,Año,Unidad,Valor,Símbolo,Descripción del Símbolo
"RP","Plaguicidas Uso","032","Argentina","5157","Uso Agrícola","1331","Fungicidas y bactericidas","1996","1996","toneladas","6107","Qm","Datos oficiales de cuestionarios y/o fuentes nacionales y/o COMTRADE (datos proporcionados por el país)"
"RP","Plaguicidas Uso","032","Argentina","5157","Uso Agrícola","1331","Fungicidas y bactericidas","1997","1997","toneladas","9064","Qm","Datos oficiales de cuestionarios y/o fuentes nacionales y/o COMTRADE (datos proporcionados por el país)"
"RP","Plaguicidas Uso","032","Argentina","5157","Uso Agrícola","1331","Fungicidas y bactericidas","1998","1998","toneladas","6041","Qm","Datos oficiales de cuestionarios y/o fuentes nacionales y/o COMTRADE (datos proporcionados por el país)"
"RP","Plaguicidas Uso","032","Argentina","5157","Uso Agrícola","1331","Fungicidas y bactericidas","1999","1999","toneladas","5510","F","Estimación FAO"
"RP","Plaguicidas Uso","032","Argentina","5157","Uso Agrícola","1331","Fungicidas y bactericidas","2000","2000","toneladas","4979","F","Estimación FAO"
"RP","Plaguicidas Uso","032","Argentina","5157","Uso Agrícola","1331","Fungicidas y bactericidas","2001","2001","toneladas","4448","F","Estimación FAO"
"RP","Plaguicidas Uso","032","Argentina","5157","Uso Agrícola","1331","Fungicidas y bactericidas","2002","2002","toneladas","3918","F","Estimación FAO"
"RP","Plaguicidas Uso","032","Argentina","5157","Uso Agrícola","1331","Fungicidas y bactericidas","2003","2003","toneladas","3387","F","Estimación FAO"
"RP","Plaguicidas Uso","032","Argentina","5157","Uso Agrícola","1331","Fungicidas y bactericidas","2004","2004","toneladas","2856","F","Estimación FAO"
"RP","Plaguicidas Uso","032","Argentina","5157","Uso Agrícola","1331","Fungicidas y bactericidas","2005","2005","toneladas","2325","F","Estimación FAO"
"RP","Plaguicidas Uso","032","Argentina","5157","Uso Agrícola","1331","Fungicidas y bactericidas","2006","2006","toneladas","1794","Fc","Datos calculados"
"RP","Plaguicidas Uso","032","Argentina","5157","Uso Agrícola","1331","Fungicidas y bactericidas","2007","2007","toneladas","2486","Fc","Datos calculados"
"RP","Plaguicidas Uso","032","Argentina","5157","Uso Agrícola","1331","Fungicidas y bactericidas","2008","2008","toneladas","2661","Fc","Datos calculados"
"RP","Plaguicidas Uso","032","Argentina","5157","Uso Agrícola","1331","Fungicidas y bactericidas","2009","2009","toneladas","1985","Fc","Datos calculados"
